rgn_id,impact,value,rgn_label,m49_code,iso3c,georgn,geosubrgn,cells,region
35,ssp245_near-term,2.9798684418201447,Ile Europa,NA,NA,Africa,Eastern Africa,12,coast
35,ssp585_current,1.580317422747612,Ile Europa,NA,NA,Africa,Eastern Africa,12,coast
35,ssp585_medium-term,5.915862739086151,Ile Europa,NA,NA,Africa,Eastern Africa,12,coast
35,ssp585_near-term,2.6006347984075546,Ile Europa,NA,NA,Africa,Eastern Africa,12,coast
37,ssp245_current,12.45830750465393,Mauritius,480,MUS,Africa,Eastern Africa,79,coast
37,ssp245_medium-term,44.06719417870045,Mauritius,480,MUS,Africa,Eastern Africa,79,coast
37,ssp245_near-term,24.38210792839527,Mauritius,480,MUS,Africa,Eastern Africa,79,coast
37,ssp585_current,11.30180535838008,Mauritius,480,MUS,Africa,Eastern Africa,79,coast
37,ssp585_medium-term,53.80501085519791,Mauritius,480,MUS,Africa,Eastern Africa,79,coast
37,ssp585_near-term,26.413991890847683,Mauritius,480,MUS,Africa,Eastern Africa,79,coast
38,ssp245_current,5.696848092600703,British Indian Ocean Territory,86,IOT,Africa,Eastern Africa,51,coast
38,ssp245_medium-term,18.51235957443714,British Indian Ocean Territory,86,IOT,Africa,Eastern Africa,51,coast
38,ssp245_near-term,8.719393476843834,British Indian Ocean Territory,86,IOT,Africa,Eastern Africa,51,coast
38,ssp585_current,5.929309880360961,British Indian Ocean Territory,86,IOT,Africa,Eastern Africa,51,coast
38,ssp585_medium-term,24.6784560829401,British Indian Ocean Territory,86,IOT,Africa,Eastern Africa,51,coast
38,ssp585_near-term,11.709837041795254,British Indian Ocean Territory,86,IOT,Africa,Eastern Africa,51,coast
39,ssp245_current,82.43878273665905,Maldives,462,MDV,Asia,Southern Asia,337,coast
39,ssp245_medium-term,326.75033044815063,Maldives,462,MDV,Asia,Southern Asia,337,coast
39,ssp245_near-term,205.72176113724709,Maldives,462,MDV,Asia,Southern Asia,337,coast
39,ssp585_current,85.49493623897433,Maldives,462,MDV,Asia,Southern Asia,337,coast
39,ssp585_medium-term,364.047867834568,Maldives,462,MDV,Asia,Southern Asia,337,coast
39,ssp585_near-term,215.59643557667732,Maldives,462,MDV,Asia,Southern Asia,337,coast
40,ssp245_current,153.26957552554086,Sri Lanka,144,LKA,Asia,Southern Asia,349,coast
40,ssp245_medium-term,316.9547980532516,Sri Lanka,144,LKA,Asia,Southern Asia,349,coast
40,ssp245_near-term,237.40126825100742,Sri Lanka,144,LKA,Asia,Southern Asia,349,coast
40,ssp585_current,157.13339328754228,Sri Lanka,144,LKA,Asia,Southern Asia,349,coast
40,ssp585_medium-term,363.5692902994342,Sri Lanka,144,LKA,Asia,Southern Asia,349,coast
40,ssp585_near-term,248.55649117892608,Sri Lanka,144,LKA,Asia,Southern Asia,349,coast
41,ssp245_current,207.42370972107165,Mozambique,508,MOZ,Africa,Eastern Africa,700,coast
41,ssp245_medium-term,518.5589224873111,Mozambique,508,MOZ,Africa,Eastern Africa,700,coast
41,ssp245_near-term,376.78749441634864,Mozambique,508,MOZ,Africa,Eastern Africa,700,coast
41,ssp585_current,214.67276471853256,Mozambique,508,MOZ,Africa,Eastern Africa,700,coast
41,ssp585_medium-term,574.3260430153459,Mozambique,508,MOZ,Africa,Eastern Africa,700,coast
41,ssp585_near-term,374.07098032720387,Mozambique,508,MOZ,Africa,Eastern Africa,700,coast
42,ssp245_current,225.62388123344863,Madagascar,450,MDG,Africa,Eastern Africa,1131,coast
42,ssp245_medium-term,815.6592691744445,Madagascar,450,MDG,Africa,Eastern Africa,1131,coast
42,ssp245_near-term,540.2378503067885,Madagascar,450,MDG,Africa,Eastern Africa,1131,coast
42,ssp585_current,236.78940259339288,Madagascar,450,MDG,Africa,Eastern Africa,1131,coast
42,ssp585_medium-term,923.429606451653,Madagascar,450,MDG,Africa,Eastern Africa,1131,coast
42,ssp585_near-term,547.1343985450221,Madagascar,450,MDG,Africa,Eastern Africa,1131,coast
43,ssp245_current,34.75449467776343,Kenya,404,KEN,Africa,Eastern Africa,137,coast
43,ssp245_medium-term,117.08488918049261,Kenya,404,KEN,Africa,Eastern Africa,137,coast
43,ssp245_near-term,78.8131033401005,Kenya,404,KEN,Africa,Eastern Africa,137,coast
43,ssp585_current,36.058691549580544,Kenya,404,KEN,Africa,Eastern Africa,137,coast
43,ssp585_medium-term,128.53602847224101,Kenya,404,KEN,Africa,Eastern Africa,137,coast
43,ssp585_near-term,81.21322864852846,Kenya,404,KEN,Africa,Eastern Africa,137,coast
44,ssp245_current,239.35997575893998,Somalia,706,SOM,Africa,Eastern Africa,756,coast
44,ssp245_medium-term,662.7795287575573,Somalia,706,SOM,Africa,Eastern Africa,756,coast
44,ssp245_near-term,514.0902550779283,Somalia,706,SOM,Africa,Eastern Africa,756,coast
44,ssp585_current,218.70765023026615,Somalia,706,SOM,Africa,Eastern Africa,756,coast
44,ssp585_medium-term,742.2915076445788,Somalia,706,SOM,Africa,Eastern Africa,756,coast
44,ssp585_near-term,524.206164419651,Somalia,706,SOM,Africa,Eastern Africa,756,coast
45,ssp245_current,138.20535329985432,Eritrea,232,ERI,Africa,Eastern Africa,307,coast
45,ssp245_medium-term,215.8485419813078,Eritrea,232,ERI,Africa,Eastern Africa,307,coast
45,ssp245_near-term,175.9642270593904,Eritrea,232,ERI,Africa,Eastern Africa,307,coast
45,ssp585_current,133.13359963009134,Eritrea,232,ERI,Africa,Eastern Africa,307,coast
45,ssp585_medium-term,242.23862939421088,Eritrea,232,ERI,Africa,Eastern Africa,307,coast
45,ssp585_near-term,178.5928546008654,Eritrea,232,ERI,Africa,Eastern Africa,307,coast
46,ssp245_current,40.1965551301837,Djibouti,262,DJI,Africa,Eastern Africa,59,coast
46,ssp245_medium-term,59.921095207333565,Djibouti,262,DJI,Africa,Eastern Africa,59,coast
46,ssp245_near-term,49.89752357453108,Djibouti,262,DJI,Africa,Eastern Africa,59,coast
46,ssp585_current,37.775873459875584,Djibouti,262,DJI,Africa,Eastern Africa,59,coast
46,ssp585_medium-term,66.7329490184784,Djibouti,262,DJI,Africa,Eastern Africa,59,coast
46,ssp585_near-term,50.83396199345589,Djibouti,262,DJI,Africa,Eastern Africa,59,coast
47,ssp245_current,299.39937133621424,Yemen,887,YEM,Asia,Western Asia,578,coast
47,ssp245_medium-term,512.5264357151464,Yemen,887,YEM,Asia,Western Asia,578,coast
47,ssp245_near-term,422.5456452332437,Yemen,887,YEM,Asia,Western Asia,578,coast
47,ssp585_current,282.32417292892933,Yemen,887,YEM,Asia,Western Asia,578,coast
47,ssp585_medium-term,570.4086299687624,Yemen,887,YEM,Asia,Western Asia,578,coast
47,ssp585_near-term,431.6341676125303,Yemen,887,YEM,Asia,Western Asia,578,coast
48,ssp245_current,236.45978729473427,Oman,512,OMN,Asia,Western Asia,489,coast
48,ssp245_medium-term,385.97046769876033,Oman,512,OMN,Asia,Western Asia,489,coast
48,ssp245_near-term,315.49542431894224,Oman,512,OMN,Asia,Western Asia,489,coast
48,ssp585_current,240.27117765083676,Oman,512,OMN,Asia,Western Asia,489,coast
48,ssp585_medium-term,434.4545008582063,Oman,512,OMN,Asia,Western Asia,489,coast
48,ssp585_near-term,326.09155298711266,Oman,512,OMN,Asia,Western Asia,489,coast
49,ssp245_current,63.94413510384038,Sudan,729,SDN,Africa,Northern Africa,148,coast
49,ssp245_medium-term,109.56905810092576,Sudan,729,SDN,Africa,Northern Africa,148,coast
49,ssp245_near-term,87.99479570495896,Sudan,729,SDN,Africa,Northern Africa,148,coast
49,ssp585_current,66.05143855302595,Sudan,729,SDN,Africa,Northern Africa,148,coast
