georgn,pressure,pressure_category,scen_time,color,avg_impact
Caribbean,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0
Central America,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.017533601546928554
Eastern Africa,acidification,climate-change-other,ssp245_medium-term,#C84382FF,4.605684228941507e-4
Eastern Asia,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.03367134041548845
Eastern Europe,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.09457823314199132
Melanesia,acidification,climate-change-other,ssp245_medium-term,#C84382FF,2.589265758110802e-5
Micronesia,acidification,climate-change-other,ssp245_medium-term,#C84382FF,2.610628724177323e-4
Middle Africa,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.025309192187753723
Northern Africa,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.02346320070722191
Northern America,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.12523943717313957
Northern Europe,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.0650534862355378
Polynesia,acidification,climate-change-other,ssp245_medium-term,#C84382FF,8.473178510080328e-5
South America,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.046919157481327904
South-eastern Asia,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.002282666165509489
Southern Africa,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.023753797486779454
Southern Asia,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.002046146972427895
Southern Europe,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.09985422422771026
Southern Islands,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.1349504258548348
Western Africa,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.010952080977483437
Western Asia,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.04427958941698903
Western Europe,acidification,climate-change-other,ssp245_medium-term,#C84382FF,0.06227149971349094
Antarctica,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.06290926039141788
Australia and New Zealand,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.0177972527392801
Caribbean,acidification,climate-change-other,ssp245_near-term,#C84382FF,0
Central America,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.011095217249052013
Eastern Africa,acidification,climate-change-other,ssp245_near-term,#C84382FF,1.1614374175360411e-4
Eastern Asia,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.0215649609421756
Eastern Europe,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.08120464366843733
Melanesia,acidification,climate-change-other,ssp245_near-term,#C84382FF,0
Micronesia,acidification,climate-change-other,ssp245_near-term,#C84382FF,0
Middle Africa,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.012187315583495286
Northern Africa,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.011195890406034633
Northern America,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.10504932185985857
Northern Europe,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.05203880781707478
Polynesia,acidification,climate-change-other,ssp245_near-term,#C84382FF,0
South America,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.03574405478757934
South-eastern Asia,acidification,climate-change-other,ssp245_near-term,#C84382FF,1.4949751893513462e-4
Southern Africa,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.014604039867322388
Southern Asia,acidification,climate-change-other,ssp245_near-term,#C84382FF,8.914400321336128e-4
Southern Europe,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.08304441045325077
Southern Islands,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.10717931132619476
Western Africa,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.005601966558199221
Western Asia,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.04186354651959442
Western Europe,acidification,climate-change-other,ssp245_near-term,#C84382FF,0.04968163205111099
Antarctica,acidification,climate-change-other,ssp585_current,#C84382FF,0.046534074371806115
Australia and New Zealand,acidification,climate-change-other,ssp585_current,#C84382FF,0.012037290966089433
Caribbean,acidification,climate-change-other,ssp585_current,#C84382FF,0
Central America,acidification,climate-change-other,ssp585_current,#C84382FF,0.007376748074658382
Eastern Africa,acidification,climate-change-other,ssp585_current,#C84382FF,1.4686258608022376e-5
Eastern Asia,acidification,climate-change-other,ssp585_current,#C84382FF,0.01461076688792575
Eastern Europe,acidification,climate-change-other,ssp585_current,#C84382FF,0.06549108377413296
Melanesia,acidification,climate-change-other,ssp585_current,#C84382FF,0
Micronesia,acidification,climate-change-other,ssp585_current,#C84382FF,0
Middle Africa,acidification,climate-change-other,ssp585_current,#C84382FF,0.00802276329021269
Northern Africa,acidification,climate-change-other,ssp585_current,#C84382FF,0.0020930054277669475
Northern America,acidification,climate-change-other,ssp585_current,#C84382FF,0.08335460310544485
Northern Europe,acidification,climate-change-other,ssp585_current,#C84382FF,0.04086707886148949
Polynesia,acidification,climate-change-other,ssp585_current,#C84382FF,0
South America,acidification,climate-change-other,ssp585_current,#C84382FF,0.027479750748994978
South-eastern Asia,acidification,climate-change-other,ssp585_current,#C84382FF,3.472930136238411e-5
Southern Africa,acidification,climate-change-other,ssp585_current,#C84382FF,0.009781574902796233
Southern Asia,acidification,climate-change-other,ssp585_current,#C84382FF,0
Southern Europe,acidification,climate-change-other,ssp585_current,#C84382FF,0.06664167339960653
Southern Islands,acidification,climate-change-other,ssp585_current,#C84382FF,0.08449911852395947
Western Africa,acidification,climate-change-other,ssp585_current,#C84382FF,0.0023433719656280444
Western Asia,acidification,climate-change-other,ssp585_current,#C84382FF,0.04146182568869471
Western Europe,acidification,climate-change-other,ssp585_current,#C84382FF,0.035634461220950896
Antarctica,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.09548186442010327
Australia and New Zealand,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.037091181481509965
Caribbean,acidification,climate-change-other,ssp585_medium-term,#C84382FF,1.2971686425956074e-4
Central America,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.02473100622417074
Eastern Africa,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.002865314959762397
Eastern Asia,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.04882790362284259
Eastern Europe,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.10721451027288138
Melanesia,acidification,climate-change-other,ssp585_medium-term,#C84382FF,9.067241757847128e-4
Micronesia,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.0018803319201430961
Middle Africa,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.04025669478401051
Northern Africa,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.035880899403798946
Northern America,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.13820011227463067
Northern Europe,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.0780851710786612
Polynesia,acidification,climate-change-other,ssp585_medium-term,#C84382FF,8.189425356181415e-4
South America,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.05735933798552669
South-eastern Asia,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.011109119301111366
Southern Africa,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.032403623279107535
Southern Asia,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.005917628143253099
Southern Europe,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.12022047428293797
Southern Islands,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.16435170981179548
Western Africa,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.017372574341801058
Western Asia,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.04763272447769525
Western Europe,acidification,climate-change-other,ssp585_medium-term,#C84382FF,0.07745977868396206
Antarctica,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.06656807490952035
Australia and New Zealand,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.01959566636706981
Caribbean,acidification,climate-change-other,ssp585_near-term,#C84382FF,0
Central America,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.012332305706214334
Eastern Africa,acidification,climate-change-other,ssp585_near-term,#C84382FF,1.4435317949429072e-4
Eastern Asia,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.023990975488981305
Eastern Europe,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.08513215089290188
Melanesia,acidification,climate-change-other,ssp585_near-term,#C84382FF,0
Micronesia,acidification,climate-change-other,ssp585_near-term,#C84382FF,0
Middle Africa,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.01403037857736119
Northern Africa,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.014010007764581653
Northern America,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.1089710907566296
Northern Europe,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.05605933834134649
Polynesia,acidification,climate-change-other,ssp585_near-term,#C84382FF,0
South America,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.037746613405038064
South-eastern Asia,acidification,climate-change-other,ssp585_near-term,#C84382FF,2.0484011874809135e-4
Southern Africa,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.0156531193514967
Southern Asia,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.0010566831205625529
Southern Europe,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.08740815875010408
Southern Islands,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.11409919859659151
Western Africa,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.006736885838486139
Western Asia,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.04298317181881804
Western Europe,acidification,climate-change-other,ssp585_near-term,#C84382FF,0.053026455994975026
Antarctica,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0
Australia and New Zealand,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0.0015794793731702826
Caribbean,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,3.643075853830992e-4
Central America,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0.001130674021701798
Eastern Africa,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,5.678885115841045e-4
Eastern Asia,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0.0010819145055454818
Eastern Europe,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0
Melanesia,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,1.3425570917433612e-5
Micronesia,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,4.416669987808982e-8
Middle Africa,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,1.0501058658556585e-5
Northern Africa,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,3.465682362053459e-4
Northern America,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,6.337476534284543e-5
Northern Europe,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0
Polynesia,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0
South America,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,1.3877625141476036e-4
South-eastern Asia,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,6.740563391853795e-4
Southern Africa,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,5.730625433050362e-8
Southern Asia,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0.0032435478027509025
Southern Europe,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,2.284495646674175e-8
Southern Islands,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0
Western Africa,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,2.517557234321493e-4
Western Asia,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0.0013625383696765584
Western Europe,air heat index,climate-change-temperature,ssp245_current,#8A0000FF,0
Antarctica,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0
Australia and New Zealand,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.02833817016063642
Caribbean,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.024299416634909293
Central America,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.02560944033972753
Eastern Africa,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.005416704536886864
Eastern Asia,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.016068865313689243
Eastern Europe,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,1.8986712186497964e-6
Melanesia,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.001113366868893523
Micronesia,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.0010390050657630289
Middle Africa,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.001992995706176006
Northern Africa,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.005593575642551604
Northern America,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.0032215838787539876
Northern Europe,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0
Polynesia,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,1.3492946626781526e-4
South America,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.002632278894337881
South-eastern Asia,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.01564967915022154
Southern Africa,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,2.4365969530024428e-5
Southern Asia,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.022778689964968436
Southern Europe,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,5.364650529073112e-5
Southern Islands,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0
Western Africa,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.04615189862214912
Western Asia,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,0.014814385826121016
Western Europe,air heat index,climate-change-temperature,ssp245_medium-term,#8A0000FF,1.9000956781098687e-8
Antarctica,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0
Australia and New Zealand,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.01372123460419742
Caribbean,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.002456488274480276
Central America,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.008177112926548179
Eastern Africa,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.0015064972788919882
Eastern Asia,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.009314569657740843
Eastern Europe,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,1.9960133157499174e-7
Melanesia,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,9.945127624240293e-5
Micronesia,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,5.529644191801367e-5
Middle Africa,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,1.988390429995811e-4
Northern Africa,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.0020027145970555513
Northern America,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,5.716143801672946e-4
Northern Europe,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0
Polynesia,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,4.718943878334903e-6
South America,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,7.807268461897411e-4
South-eastern Asia,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.0029596811013248687
Southern Africa,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,4.793739421380323e-6
Southern Asia,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.012795360171007106
Southern Europe,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,2.6447813280063605e-6
Southern Islands,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0
Western Africa,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.004485718718341649
Western Asia,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0.010036133527070367
Western Europe,air heat index,climate-change-temperature,ssp245_near-term,#8A0000FF,0
Antarctica,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0
Australia and New Zealand,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0.0013149722526885736
Caribbean,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,4.489070416382852e-4
Central America,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0.0011772121603449088
Eastern Africa,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,6.244030770591148e-4
Eastern Asia,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0.0010569758318551136
Eastern Europe,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0
Melanesia,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,1.2504329520087578e-5
Micronesia,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,2.3657894317309197e-7
Middle Africa,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,7.79563703946176e-6
Northern Africa,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,3.5749148596217744e-4
Northern America,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,6.46759739392274e-5
Northern Europe,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0
Polynesia,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0
South America,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,1.6508393884121994e-4
South-eastern Asia,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,6.235955926488207e-4
Southern Africa,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,1.6657356572960375e-8
Southern Asia,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0.0032086223369762437
Southern Europe,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,6.066226179338022e-8
Southern Islands,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0
Western Africa,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,3.0565639458306085e-4
Western Asia,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0.0013537991106111885
Western Europe,air heat index,climate-change-temperature,ssp585_current,#8A0000FF,0
Antarctica,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0
Australia and New Zealand,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.03134919093529267
Caribbean,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.03469003462191484
Central America,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.03576929992110136
Eastern Africa,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.012556055096046273
Eastern Asia,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.018323879708834197
Eastern Europe,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,7.741815810371019e-6
Melanesia,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.008462509601539785
Micronesia,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.012698021812856765
Middle Africa,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.006183253688266051
Northern Africa,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.009699927190352394
Northern America,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.004518913138224064
Northern Europe,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0
Polynesia,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,6.533228141904014e-4
South America,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.004794755570982989
South-eastern Asia,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.027439887897745083
Southern Africa,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,6.942322581278086e-5
Southern Asia,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.03233527809668264
Southern Europe,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,3.701855360087643e-4
Southern Islands,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0
Western Africa,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.07996184533248181
Western Asia,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,0.013245835990091348
Western Europe,air heat index,climate-change-temperature,ssp585_medium-term,#8A0000FF,3.056915229041808e-6
Antarctica,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0
Australia and New Zealand,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.017794681058281997
Caribbean,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.006788161223956812
Central America,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.009957306332094221
Eastern Africa,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.0017275518173753399
Eastern Asia,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.011659906271183322
Eastern Europe,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,5.035060235213618e-7
Melanesia,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,1.8868335597801276e-4
Micronesia,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,1.234175230748234e-4
Middle Africa,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,3.482922707676129e-4
Northern Africa,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.0026774096069463065
Northern America,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,6.161795463887789e-4
Northern Europe,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0
Polynesia,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,1.4663155779300282e-5
South America,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.0010157569214482075
South-eastern Asia,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.004749758557359356
Southern Africa,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,6.746914744216131e-6
Southern Asia,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.014406568655178736
Southern Europe,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,1.4187265601846482e-5
Southern Islands,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0
Western Africa,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.006784709249127448
Western Asia,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,0.010939851341510315
Western Europe,air heat index,climate-change-temperature,ssp585_near-term,#8A0000FF,3.571687311922661e-9
Antarctica,coastal disturbance,land-based,ssp245_current,#ECA045FF,0
Australia and New Zealand,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.03184194661413441
Caribbean,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.08444258898864043
Central America,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.07810109047971417
Eastern Africa,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.10501354230170189
Eastern Asia,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.1680636036130715
Eastern Europe,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.014453485151392166
Melanesia,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.0425706584014182
Micronesia,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.011851827100505096
Middle Africa,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.08825553632685132
Northern Africa,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.12233584677966194
Northern America,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.024012970954847366
Northern Europe,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.08729693370119948
Polynesia,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.015349392688896256
South America,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.07628079497270457
South-eastern Asia,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.11661286252631332
Southern Africa,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.07735874416173524
Southern Asia,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.1706217249444333
Southern Europe,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.11813078009201906
Southern Islands,coastal disturbance,land-based,ssp245_current,#ECA045FF,0
Western Africa,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.14909137515338247
Western Asia,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.12371702801643197
Western Europe,coastal disturbance,land-based,ssp245_current,#ECA045FF,0.1959478004863834
Antarctica,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0
Australia and New Zealand,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.03410317418513279
Caribbean,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.08514656824589345
Central America,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.08295418707173083
Eastern Africa,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.11776584902907174
Eastern Asia,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.1613280140737441
Eastern Europe,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.013468193501690368
Melanesia,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.045573536614574854
Micronesia,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.011641383325096143
Middle Africa,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.09809536450854583
Northern Africa,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.1305224107310701
Northern America,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.025477044466794017
Northern Europe,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.09066995265897297
Polynesia,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.01526198982497882
South America,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.07908786928645302
South-eastern Asia,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.11259095409081456
Southern Africa,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.0803256696401823
Southern Asia,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.1767726413293185
Southern Europe,coastal disturbance,land-based,ssp245_medium-term,#ECA045FF,0.11784641768288902
