stockid,assessid,stocklong,assessyear,scientificname,commonname,areaname,managementauthority,assessorfull,region,FisheryType,taxGroup,primary_FAOarea,primary_country,country,areatype,areacode,alternateareaname,areaid
JMACKPJPN,FAFRFJ-JMACKPJPN-1982-2019-KUROTA,Japanese jack mackerel Pacific Coast of Japan,1982-2019,Trachurus japonicus,Japanese jack mackerel,Pacific Coast of Japan,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Forage Fish,carangids-mackerels,61,Japan,Japan,FAJ,PJPN,NA,Japan-FAJ-PJPN
JPUFFIMKB,FAFRFJ-JPUFFIMKB-1993-2013-JPNIMP2016,Japanese pufferfish Ise and Mikawa Bay,1993-2013,Takifugu rubripes,Japanese pufferfish,Ise and Mikawa Bay,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Other Marine,other marine fish,61,Japan,Japan,FAJ,IMKB,NA,Japan-FAJ-IMKB
KCROCKNPAC,FAFRFJ-KCROCKNPAC-1975-2013-JPNIMP2016,Kichiji rockfish North Pacific,1975-2013,Sebastolobus macrochir,Kichiji rockfish,North Pacific,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Rockfish,sebastids,61,Japan,Japan,FAJ,NPAC,NA,Japan-FAJ-NPAC
KCROCKNPAC,FAFRFJ-KCROCKNPAC-1975-2013-JPNIMP2016,Kichiji rockfish North Pacific,1975-2013,Sebastolobus macrochir,Kichiji rockfish,North Pacific,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Rockfish,sebastids,61,Japan,multinational,IPHC,NPAC,NA,multinational-IPHC-NPAC
KCROCKNPAC,FAFRFJ-KCROCKNPAC-1975-2013-JPNIMP2016,Kichiji rockfish North Pacific,1975-2013,Sebastolobus macrochir,Kichiji rockfish,North Pacific,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Rockfish,sebastids,61,Japan,multinational,WCPFC,NPAC,NA,multinational-WCPFC-NPAC
KCROCKNPAC,FAFRFJ-KCROCKNPAC-1975-2013-JPNIMP2016,Kichiji rockfish North Pacific,1975-2013,Sebastolobus macrochir,Kichiji rockfish,North Pacific,Fisheries Agency of Japan,Fisheries Agency and Fisheries Research Agency of Japan,Japan,Rockfish,sebastids,61,Japan,USA,NMFS,NPAC,NA,USA-NMFS-NPAC
KINGKLIPSASC,MARAM-KINGKLIPSASC-1932-2019-Brandao,Kingklip South Africa South coast,1932-2019,Genypterus capensis,Kingklip,South Africa South coast,"South African national management, Fisheries Branch of Department of Agriculture, Forestry and Fisheries","Marine Resource Assessment and Management Group, Department of Mathematics and Applied Mathematics, University of Cape Town, Rondebosch, 7701, South Africa",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DEFF,SASC,NA,South Africa-DEFF-SASC
KINGKLIPSASC,MARAM-KINGKLIPSASC-1932-2019-Brandao,Kingklip South Africa South coast,1932-2019,Genypterus capensis,Kingklip,South Africa South coast,"South African national management, Fisheries Branch of Department of Agriculture, Forestry and Fisheries","Marine Resource Assessment and Management Group, Department of Mathematics and Applied Mathematics, University of Cape Town, Rondebosch, 7701, South Africa",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DETMCM,SASC,NA,South Africa-DETMCM-SASC
KINGKLIPSAWC,MARAM-KINGKLIPSAWC-1932-2020-Brandao,Kingklip South Africa West coast,1932-2020,Genypterus capensis,Kingklip,South Africa West coast,"South African national management, Fisheries Branch of Department of Agriculture, Forestry and Fisheries","Marine Resource Assessment and Management Group, Department of Mathematics and Applied Mathematics, University of Cape Town, Rondebosch, 7701, South Africa",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DEFF,SAWC,NA,South Africa-DEFF-SAWC
KINGKLIPSAWC,MARAM-KINGKLIPSAWC-1932-2020-Brandao,Kingklip South Africa West coast,1932-2020,Genypterus capensis,Kingklip,South Africa West coast,"South African national management, Fisheries Branch of Department of Agriculture, Forestry and Fisheries","Marine Resource Assessment and Management Group, Department of Mathematics and Applied Mathematics, University of Cape Town, Rondebosch, 7701, South Africa",Southern Africa,Other Marine,other marine fish,47,South Africa,South Africa,DETMCM,SAWC,NA,South Africa-DETMCM-SAWC
KMFLOUNBSAI,AFSC-KMFLOUNBSAI-1991-2020-SISIMP2021-2,Kamchatka flounder Bering Sea and Aleutian Islands,1991-2020,Atheresthes evermanni,Kamchatka flounder,Bering Sea and Aleutian Islands,"National Marine Fisheries Service, US national management",Alaska Fisheries Science Center,US Alaska,Flatfish,pleuronectids,67,USA,USA,NMFS,BSAI,NA,USA-NMFS-BSAI
LINGVa,WGDEEP-LINGVa-1982-2021-ICESIMP2021-2,Ling Iceland Grounds,1982-2021,Molva molva,Ling,Iceland Grounds,International Council for the Exploration of the Sea,Working Group on the Biology and Assessment of Deep-Sea Fisheries Resources,Europe non EU,Gadids,gadids,27,Iceland,multinational,ICES,Va,NA,multinational-ICES-Va
LNOSESKAGA,AFSC-LNOSESKAGA-1990-2019-SISIMP2021-2,Longnose skate Gulf of Alaska,1990-2019,Raja rhina,Longnose skate,Gulf of Alaska,"National Marine Fisheries Service, US national management",Alaska Fisheries Science Center,US Alaska,Sharks Rays and Skates,elasmobranchs,67,USA,USA,NMFS,GA,NA,USA-NMFS-GA
MEGVII-VIIIabd,WGBIE-MEGVII-VIIIabd-1984-2021-ICESIMP2021-2,Megrim ICES 7-8abd,1984-2021,Lepidorhombus whiffiagonis,Megrim,ICES 7-8abd,International Council for the Exploration of the Sea,Working Group for the Bay of Biscay and the Iberian Waters Ecoregion,European Union,Flatfish,pleuronectids,27,France,multinational,ICES,VII-VIIIabd,NA,multinational-ICES-VII-VIIIabd
MORWONGESE,CSIRO-MORWONGESE-1915-2020-MOESENEDER,Jackass morwong Eastern half of Southeast Australia,1915-2020,Nemadactylus macropterus,Jackass morwong,Eastern half of Southeast Australia,"Australian Fisheries Management Authority, Australia national management",Commonwealth Scientific and Industrial Research Organization,Australia,Other Marine,other marine percoidids,81,Australia,Australia,AFMA,ESE,NA,Australia-AFMA-ESE
MORWONGWSE,CSIRO-MORWONGWSE-1986-2017-MOESENEDER,Jackass morwong Western half of Southeast Australia,1986-2017,Nemadactylus macropterus,Jackass morwong,Western half of Southeast Australia,"Australian Fisheries Management Authority, Australia national management",Commonwealth Scientific and Industrial Research Organization,Australia,Other Marine,other marine percoidids,81,Australia,Australia,AFMA,WSE,NA,Australia-AFMA-WSE
MORWONGWSE,CSIRO-MORWONGWSE-1986-2017-MOESENEDER,Jackass morwong Western half of Southeast Australia,1986-2017,Nemadactylus macropterus,Jackass morwong,Western half of Southeast Australia,"Australian Fisheries Management Authority, Australia national management",Commonwealth Scientific and Industrial Research Organization,Australia,Other Marine,other marine percoidids,81,Australia,Australia,SARDI,WSE,NA,Australia-SARDI-WSE
MUTSNAPSATLCGM,SEFSC-MUTSNAPSATLCGM-1981-2013-SISIMP2016,Mutton snapper Southern Atlantic coast and Gulf of Mexico,1981-2013,Lutjanus analis,Mutton snapper,Southern Atlantic coast and Gulf of Mexico,"National Marine Fisheries Service, US national management",Southeast Fisheries Science Center,US Southeast and Gulf,Other Marine,other marine percoidids,31,USA,USA,NMFS,SATLCGM,NA,USA-NMFS-SATLCGM
NEPHMEDGSA17-18,STECF-NEPHMEDGSA17-18-1970-2019-MEDIMP2021-2,"Norway lobster Adriatic Sea (GSA 17,18)",1970-2019,Nephrops norvegicus,Norway lobster,"Adriatic Sea (GSA 17,18)","General Fisheries Council for the Mediterranean, DG MARE, and national states","Scientific, Technical and Economic Committee for Fisheries",Mediterranean-Black Sea,Invertebrate,crabs-lobsters,37,Italy,multinational,GFCM,GSA17-18,NA,multinational-GFCM-GSA17-18
