stockid,stocklong,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CTRACSA,Cape horse mackerel South Africa South coast,349297,382933,374698,361147,306274,303308,304781,311452,322324,325862,328069,326161,347261,381912,428267,467790,491352,500194,511720,511300,527537,546556,558024,559356,556646,NA,NA,NA
CUSK4X,Cusk Western Scotian Shelf,18700,18200,19200,17100,18000,18700,19300,16700,11800,15000,14000,13800,16900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUSKVa-XIV,Tusk ICES 5a-14,31086.86778,29827.67206,28675.76766,28400.33471,28521.67198,26763.82227,27421.72632,28735.81648,29696.00971,31069.17704,33707.85724,36643.79062,38406.60207,39502.84342,39534.07516,39189.4883,37968.72855,37223.26388,35319.60239,34107.04242,32329.40766,31579.95058,32243.6153,34505.89343,37092.90698,NA,NA,NA
DEEPCHAKESA,Deep water cape hake South Africa,381284,409630,408259,398546,365567,343590,324070,320794,312504,295314,293519,307838,325222,322961,332917,351886,363368,362847,363796,369837,372794,382387,375637,365616,361775,363527,NA,NA
DEEPFLATHEADSE,Deepwater flathead Southeast Australia,18300,16700,15400,14800,14600,14600,14400,14100,13000,11400,10200,9750,9910,10100,10600,10900,11000,10800,10500,10300,10400,NA,NA,NA,NA,NA,NA,NA
DKROCKPCOAST,Darkblotched rockfish Pacific Coast,10080.7,9457.74,8979.03,8510.11,7924.3,8048.87,8481.63,9175.04,9886.6,10635.5,11304.2,12026,12648.1,13177.2,13735.2,14284.5,14825.9,15576.5,16313,17137.5,18190.2,19425.9,20713.3,NA,NA,NA,NA,NA
DSOLEGA,Dover sole Gulf of Alaska,123000,121000,120000,117000,115000,113000,114000,118000,119000,122000,123000,124000,125000,126000,126000,125000,124000,123000,123000,125000,141000,NA,NA,NA,NA,NA,NA,NA
DSOLEPCOAST,Dover sole Pacific Coast,597000,613000,627000,641000,656000,668000,679000,691000,704000,714000,722000,726000,726000,719000,708000,696000,685000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUSROCKGA,Dusky rockfish Gulf of Alaska,65000,69000,71500,74400,78700,79300,81800,85800,88300,90700,93100,94200,93900,91700,88500,85000,81000,77200,71900,67400,63100,NA,NA,NA,NA,NA,NA,NA
DVANGSASC,Devil anglerfish South Africa South coast,8805,8910,9014,9122,9328,9526,9642,9763,9864,9880,9949,9980,9880,10003,9876,9758,9704,9648,9688,9540,9568,9667,9796,9717,NA,NA,NA,NA
DVANGSAWC,Devil anglerfish South Africa West coast,24520,26141,27870,28776,28639,29464,28650,26244,25235,25815,24899,24234,24890,24951,25251,26287,26463,26700,27868,29288,31150,32351,32642,32484,NA,NA,NA,NA
EBASSIVbc-VII,European seabass ICES 4bc-7,20200,21000,20600,20800,21600,22500,24000,25500,27100,28100,29000,29200,29300,29500,29000,28000,25700,23300,20200,16500,14100,12300,10800,NA,NA,NA,NA,NA
ECSOLESASC,East coast sole South Africa South coast,16363,16414,16314,16304,16277,16357,15571,15043,14694,14310,14087,14000,13974,14047,13999,13833,13673,13652,13731,14017,14210,14346,14607,14869,15098,15258,NA,NA
ESOLEHS,English sole Hecate Strait,4540,3910,5510,3010,2900,3110,3410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESOLEPCOAST,English sole Pacific Coast,23700,25400,28000,33100,41400,49600,56800,64700,69400,72100,72800,71800,69900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EULAPCOASTCCDU,Eulachon Pacific Coast of Canada Central Coast Designatable Unit,NA,NA,NA,NA,NA,19.3,24.7,57.6,81.4,86.9,23,71.5,60.3,34.1,130,38.1,157,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River Designatable Unit,NA,NA,NA,NA,NA,11.6,29.4,68.7,129,125,37.2,33.5,15.2,12.4,45.2,44.7,90.8,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EULAPCOASTNSDU,Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit,NA,NA,NA,NA,NA,18,21.1,64.3,86,89.1,24.4,56.1,45.3,26,98,30.7,137,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,953000,940000,913000,883000,855000,826000,812000,803000,783000,785000,788000,811000,813000,810000,795000,776000,752000,738000,710000,739000,738000,NA,NA,NA,NA,NA,NA,NA
FLSOLEGA,Flathead sole Gulf of Alaska,219000,220000,220000,220000,219000,219000,219000,221000,223000,225000,227000,229000,231000,233000,235000,235000,234000,234000,237000,241000,258000,NA,NA,NA,NA,NA,NA,NA
FMEG8c9a,Fourspotted megrim ICES 8c-9a,5909,5202,4421,5040,4562,4421,3823,4158,4740,5006,4921,5670,5486,6019,5995,6439,6056,7568,6466,7282,7758,7776,8183,7878,NA,NA,NA,NA
FSCADNWA,False scad North West Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242000,64000,105000,99000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAGSATLC,Gag Southern Atlantic coast,2930,2650,2420,2280,2220,2240,2450,2660,2790,2640,2470,2350,2260,2130,2310,2440,2490,2620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEMFISHNZ,Common gemfish New Zealand,15100,13100,11100,9280,8280,7620,7260,7100,7090,7180,7470,8020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEMFISHSE,Common gemfish Southeast Australia,4140,3570,2910,2350,2060,1930,1950,2110,2590,3290,3680,3780,3770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHAL23KLMNO,Greenland halibut Labrador Shelf - Grand Banks,76800,76800,73900,87200,103000,111000,112000,98000,89600,74900,75600,76500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GHALBSAI,Greenland halibut Bering Sea and Aleutian Islands,149000,136000,126000,115000,102000,92900,83100,75600,70900,67800,66000,64100,62700,61300,59700,58400,60700,69300,80900,97400,122000,NA,NA,NA,NA,NA,NA,NA
GHALNEAR,Greenland halibut North-East Arctic,516000,536000,542000,547000,544000,539000,535000,532000,531000,528000,522000,525000,539000,564000,597000,630000,656000,675000,683000,684000,678000,666000,NA,NA,NA,NA,NA,NA
GOLDREDNEAR,Golden redfish North-East Arctic,111000,106000,99800,90900,80900,74400,71100,68000,66000,64000,61700,58900,55600,52700,49800,45200,42500,40400,37900,36500,35900,35000,34400,NA,NA,NA,NA,NA
GOLDREDV-VI-XII-XIV,Golden redfish ICES 5-6-12-14,301000,307000,307000,309000,306000,301000,307000,308000,321000,337000,354000,376000,391000,414000,445000,481000,502000,515000,519000,510000,500000,479000,459000,434000,NA,NA,NA,NA
GOPHERSPCOAST,Gopher rockfish Southern Pacific Coast,2730,2970,3000,2950,2930,2890,2940,2850,2780,2630,2570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPOCTOGA,Giant Pacific octopus Gulf of Alaska,1540,1660,1430,1230,1060,1140,1230,1980,3210,2160,1450,1830,2320,2940,3720,4180,4690,3780,3040,6110,12300,NA,NA,NA,NA,NA,NA,NA
GRAMBERGM,Greater amberjack Gulf of Mexico,2570,2690,2370,2380,2420,2750,3460,4310,4430,3750,3170,2870,2930,3460,3940,4010,3920,3860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRAMBERSATLC,Greater amberjack Southern Atlantic coast,6320,6030,5710,5880,6170,6060,7110,7840,7750,6950,5940,5620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNSTROCKPCOAST,Greenstriped rockfish Pacific Coast,23300,23100,22900,22400,21800,22000,22700,23500,24200,25100,25900,26900,27800,28500,29200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSPROCKNCAL,Greenspotted rockfish Northern Pacific Coast,752,704,644,647,679,702,733,775,828,883,937,990,1040,1090,1140,1190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSPROCKSCAL,Greenspotted rockfish Southern Pacific Coast,1290,1270,1290,1330,1360,1400,1450,1500,1560,1630,1680,1720,1770,1820,1870,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTRIGGM,Gray triggerfish Gulf of Mexico,9050,8150,7970,7980,8250,8710,9270,9490,9250,8610,7750,7220,6960,6820,6790,6710,6560,6070,5780,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAD3LNO,Haddock Grand Banks,NA,3090,4580,5060,19100,16400,9650,7150,3710,7180,2860,11000,19300,15300,25800,19100,11200,14600,16400,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAD4X5Y,"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine",49300,83100,45200,43500,56400,60200,85400,65800,67900,40300,43500,46600,54800,43300,60800,45500,47900,29000,36600,42900,NA,NA,NA,NA,NA,NA,NA,NA
HAD5Y,Haddock Gulf of Maine,3240,4120,6370,8270,8930,11600,16300,18900,16200,14100,12000,9310,7960,5620,4650,3650,2580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HADFAPL,Haddock Faroe Plateau,51155,94533,101508,84931,71259,104354,144583,154312,130447,116355,83699,58359,39320,27567,18832,18283,16216,14279,14666,15278,22980,32478,46940,63544,90093,NA,NA,NA
HADICE,Haddock Iceland Grounds,91664,73657,62686,55132,58498,65450,68080,94392,123728,188076,190489,155387,147457,160217,145288,112353,105077,114737,123441,107624,116618,106581,97278,122611,NA,NA,NA,NA
HADIS,Haddock Irish Sea,7766,33526,16949,17429,18457,7492,17826,8406,11853,15079,13292,12838,10448,7608,12881,8770,9803,8646,39538,25239,31794,26350,28282,28668,NA,NA,NA,NA
HADNEAR,Haddock North-East Arctic,644167,558229,401333,267143,234355,215181,318320,436993,507802,495396,511448,439250,504223,737436,996238,1131245,1178945,1175963,1006689,985520,876208,804696,702343,618554,695897,719838,643906,NA
HADNS-IIIa-VIa,Haddock ICES 3a-4-6a,857946.9036,778033.0646,744782.8362,581082.144,1527159.926,2166169.264,1146194.794,772195.4438,546694.165,452129.7745,1019145.852,764794.2498,556457.2594,467072.8844,797908.2277,495608.4011,418762.6711,407263.1187,350159.9149,510595.4835,529577.4249,550739.7637,460810.6741,415905.5371,509662.7311,NA,NA,NA
HADROCK,Haddock Rockall Bank,48513,44403,40589,43790,36338,22789,21243,36331,38443,27686,21446,26901,27314,22368,14298,12056,8628,10547,10975,17434,22474,26020,43365,53527,58034,NA,NA,NA
HADVIIb-k,Haddock ICES 7b-k,46077.39582,46746.33828,37906.13006,31453.39561,32453.56263,45714.00229,54817.61369,72030.63856,66415.07645,63780.62528,55039.97475,47752.66116,65603.76297,77947.82242,137392.7456,130466.8898,99511.03955,74113.7983,75657.38094,65868.31917,76360.18599,66624.18324,49119.31501,74659.34855,NA,NA,NA,NA
HAKENRTN,Hake ICES 3a-4-6-7-8abd,57792,52776,45173,42728,47023,52250,51791,54517,59642,61790,57585,53571,59328,73294,114996,186932,239615,255481,265216,298994,338241,357907,340727,339643,NA,NA,NA,NA
HAKESOTH,Hake ICES 8c-9a,14360.31698,12084.8324,10696.23554,10755.62959,12010.07841,12588.58898,13186.1323,12387.78887,12695.62208,12526.82552,13875.50837,17545.72247,19613.76877,21364.07046,23785.31386,22955.07877,23058.99594,19635.39749,19734.2169,19421.98903,18965.63851,18826.75075,17474.89979,20987.74513,NA,NA,NA,NA
HAKESPPSAF,Hake spp Southern Africa,983086,951771,915113,896391,894068,825483,796600,781255,860762,870229,878026,875753,902733,947252,985799,982705,966219,959477,975249,1003450,1133480,1469700,1779850,1994990,2426180,NA,NA,NA
HERR2224IIIa,Herring ICES 22-24-3a,310882,274398,280206,266555,272034,256410,277696,294439,222932,221749,208597,223781,171371,152469,141308,126606,115018,124242,140170,148422,150846,135468,130734,114957,NA,NA,NA,NA
HERR2529-32,Herring Subdivisions 25-29 and 32,1076010,975482,853378,824753,685629,775387,705682,690405,794924,725093,770277,914459,951002,1149938,1180933,1176053,1076407,1215156,1255708,1306754,1426997,1234693,1330216,1379633,NA,NA,NA,NA
HERR30-31,Herring Subdivisions 30-31,596000,569000,543000,516000,491000,435000,430000,444000,461000,478000,484000,488000,514000,505000,573000,598000,597000,658000,709000,736000,741000,704000,NA,NA,NA,NA,NA,NA
HERR4RSP,Herring NAFO division 4R (Spring spawners),48400,48600,49500,54100,63800,72400,76500,77100,65700,64300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HERR4VWX,Herring Scotian Shelf and Bay of Fundy,156000,161000,179000,181000,164000,164000,168000,166000,154000,116000,96300,91700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HERRCC,Pacific herring Central Coast,40300,54000,62500,60700,57800,51000,44800,53800,53700,58100,42600,32700,22200,31500,26300,32700,20900,23900,29500,43000,48900,NA,NA,NA,NA,NA,NA,NA
HERRHG,Pacific herring Haida Gwaii,28200,35600,68300,41600,30500,21800,18500,30700,20600,24200,17000,22900,17700,24300,16200,22600,20600,43700,35200,33900,27200,NA,NA,NA,NA,NA,NA,NA
HERRIsum,Herring Iceland (Summer spawners),464000,350000,371000,370000,378000,396000,361000,545000,628000,693000,821000,934000,875000,944000,969000,745000,519000,555000,493000,460000,438000,NA,NA,NA,NA,NA,NA,NA
HERRNIRS,Herring Irish Sea,29466,24441,23506,26742,22629,19867,19932,19206,22629,24612,27889,36864,65251,59101,61636,63831,56162,54122,44312,56331,59516,50970,48630,54885,NA,NA,NA,NA
HERRNORSS,Herring ICES 1-2-4a-5-14a (Norwegian Spring Spawners),8413000,8658000,8311000,7126000,6611000,6519000,6094000,6336000,6858000,9359000,9633000,11218000,10688000,10936000,10135000,8704000,7690000,7099000,6687000,6237000,6256000,6114000,5918000,5662000,5317000,NA,NA,NA
HERRNS-IIIa-VIId,Herring ICES 3a-4-7d,3520559,3459214,3529498,3821681,3795927,4668472,5272611,6235461,6587881,5525183,4637352,3924472,3270134,3306520,3773138,4582165,4617809,4629001,4470275,4772852,5039562,4976585,4125961,3808857,3243613,NA,NA,NA
HERRNWATLC,Herring Northwestern Atlantic Coast,1540000,1830000,1510000,1370000,1530000,1400000,1290000,1250000,1330000,1140000,995000,1080000,963000,972000,1940000,1520000,1320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HERRPRD,Pacific herring Prince Rupert District,45600,49400,52700,41200,47200,48200,45900,60100,52300,44200,33800,41300,33200,33900,34700,41200,38400,42500,36300,39400,56300,NA,NA,NA,NA,NA,NA,NA
HERRRIGA,Herring Gulf of Riga East of Gotland,166685,167612,133755,120165,136313,132430,156552,143697,156605,120679,124884,144112,127294,158286,150764,141524,131509,152266,182693,162758,156370,153567,151820,177796,NA,NA,NA,NA
HERRSIRS,Herring ICES 7a-g-h-j-k,155000,121000,109000,86600,92500,93600,91100,110000,73100,81900,139000,124000,142000,143000,196000,195000,215000,192000,164000,140000,99100,75100,61300,NA,NA,NA,NA,NA
HERRSITKA,Pacific herring Sitka,52300,46100,57300,56700,58800,66900,89700,118000,131000,132000,113000,107000,98400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HERRSOG,Pacific herring Strait of Georgia,229000,267000,255000,200000,197000,217000,280000,289000,266000,223000,214000,219000,163000,143000,121000,147000,165000,167000,194000,185000,232000,NA,NA,NA,NA,NA,NA,NA
HERRTOG,Pacific herring Togiak District,135000,123000,113000,110000,142000,119000,109000,109000,114000,130000,98500,118000,122000,124000,110000,133000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HERRVIaVIIbc,Herring ICES 6a7bc,688000,569000,570000,653000,678000,734000,784000,847000,838000,713000,657000,702000,681000,625000,637000,631000,533000,502000,396000,292000,240000,169000,162000,NA,NA,NA,NA,NA
HERRWCVANI,Pacific herring West Coast of Vancouver Island,67400,119000,105000,71600,53700,56400,73000,79500,65000,49800,31200,28700,19600,21900,16400,24200,18900,19000,32600,34300,56400,NA,NA,NA,NA,NA,NA,NA
HMACKIIa-IVa-Vb-VIa-VII-VIII,Horse mackerel ICES 2a-4a-5b-6a-7-8,2970000,2620000,2390000,2010000,1810000,1630000,1540000,1570000,1700000,1780000,1840000,1820000,1770000,1720000,1670000,1590000,1460000,1320000,1190000,1080000,1000000,1010000,1070000,NA,NA,NA,NA,NA
HMACKNWA,Horse mackerel North West Africa,308000,359000,393000,275000,178000,183000,200000,253000,286000,196000,140000,41900,218000,235000,195000,153000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAMBERJPN,Japanese amberjack Japan,141000,122000,120000,115000,138000,164000,149000,143000,161000,157000,148000,178000,171000,176000,206000,261000,269000,281000,294000,NA,NA,NA,NA,NA,NA,NA,NA,NA
JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,679000,612000,770000,1080000,1030000,914000,1070000,1230000,1490000,1120000,974000,929000,815000,773000,850000,722000,572000,577000,625000,NA,NA,NA,NA,NA,NA,NA,NA,NA
JANCHOSETO,Japanese anchovy Inland Sea of Japan,122000,114000,100000,132000,190000,197000,196000,234000,207000,176000,179000,214000,188000,381000,343000,244000,258000,254000,272000,268000,256000,276000,309000,208000,NA,NA,NA,NA
JANCHOTSST,Japanese anchovy Tsushima Strait,211000,223000,199000,306000,264000,257000,130000,141000,156000,139000,159000,178000,247000,208000,138000,151000,128000,106000,101000,120000,128000,103000,102000,88000,NA,NA,NA,NA
JCSQUIDJPNAR,Japanese flying squid Japan Autumn recruitment,1290000,1190000,1770000,689000,1500000,1870000,1770000,2040000,1370000,982000,1320000,1290000,910000,1710000,1490000,1190000,1350000,1410000,1150000,2350000,NA,NA,NA,NA,NA,NA,NA,NA
JCSQUIDJPNWR,Japanese flying squid Japan Winter recruitment,788000,1330000,1050000,513000,612000,906000,861000,777000,825000,883000,833000,641000,1160000,985000,1180000,888000,1100000,864000,838000,823000,NA,NA,NA,NA,NA,NA,NA,NA
JMACKPJPN,Japanese jack mackerel Pacific Coast of Japan,149000,162000,143000,127000,119000,125000,139000,111000,108000,111000,100000,89000,80000,74000,56000,61000,65000,68000,69000,53000,44000,49000,49000,44000,38000,NA,NA,NA
JMACKTSST,Japanese jack mackerel Tsushima Strait,520000,503000,518000,528000,419000,382000,280000,348000,530000,543000,448000,448000,416000,389000,383000,379000,391000,346000,351000,380000,429000,386000,423000,430000,418000,NA,NA,NA
JPUFFIMKB,Japanese pufferfish Ise and Mikawa Bay,181,131,152,156,255,543,458,860,449,240,169,296,376,313,391,230,160,131,132,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPUFFSOJECSSI,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea,NA,NA,NA,NA,NA,NA,NA,968,903,878,960,1050,988,902,920,902,915,854,829,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCROCKNPAC,Kichiji rockfish North Pacific,1420,1520,1820,1600,2500,2590,2560,3080,3210,3140,3770,3620,4700,5230,5170,6420,6230,5930,6470,NA,NA,NA,NA,NA,NA,NA,NA,NA
KELPGREENLINGORECOAST,Kelp greenling Oregon Coast,990,925,889,958,974,966,1290,1450,1410,1330,1230,1150,990,1020,1110,1490,1590,1420,1230,1130,1130,NA,NA,NA,NA,NA,NA,NA
KINGKLIPSASC,Kingklip South Africa South coast,25560,25557,24836,23908,23775,23187,22939,21992,20631,19233,17874,17222,17093,17105,17000,17222,17336,17639,17575,16816,16527,16378,16460,16366,16445,NA,NA,NA
KINGKLIPSAWC,Kingklip South Africa West coast,33217,34393,35731,36708,38127,38986,39725,39995,40507,41424,42439,43498,45016,46802,48701,50513,52013,53365,54333,55355,56607,57766,58843,60565,62463,NA,NA,NA
KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,104000,107000,110000,113000,116000,119000,122000,126000,130000,138000,145000,154000,163000,172000,175000,172000,160000,161000,163000,168000,NA,NA,NA,NA,NA,NA,NA,NA
LINGCODNPCOAST,Lingcod Northern Pacific Coast,16085,15377.6,14859.6,13745.6,14746.2,15751.8,16640.8,18068.3,20391.5,22635.8,23759.6,23945,23973.8,23492.5,23078.1,23040.7,27371,29480,31301.8,31649.6,31634.1,33759.1,34063.8,NA,NA,NA,NA,NA
LINGCODSPCOAST,Lingcod Southern Pacific Coast,3787.97,3479.12,3478.97,3065.75,3712.44,3806.36,4024.57,5760.73,6767.85,7114.38,7734.46,8037.98,7848.67,7512.83,7046.64,6591.28,6577.99,6674.93,7594.03,8498.22,9558.85,11049,11609.7,NA,NA,NA,NA,NA
LINGVa,Ling Iceland Grounds,14900,14900,15200,15200,14200,14300,15600,17600,19200,21400,24700,28000,30900,34600,37700,42300,47200,53900,57700,60000,58700,56100,NA,NA,NA,NA,NA,NA
LISQUIDATLC,Longfin inshore squid Atlantic Coast,43300,25800,70800,33900,106000,176000,59700,154000,80600,51100,63900,142000,74900,69100,39800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LNOSESKAGA,Longnose skate Gulf of Alaska,23200,26000,28900,32200,35800,36700,37500,38400,39400,39800,40300,38100,36000,36200,36500,36300,36100,39000,42200,42100,42000,42100,42100,38100,34500,NA,NA,NA
LNOSESKAPCOAST,Longnose skate Pacific Coast,75300,75500,74700,72900,72600,71800,70800,70700,71300,71000,71400,71400,71200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSTHORNHPCOAST,Longspine thornyhead Pacific Coast,57900,53600,50300,48200,48300,49000,50300,51900,53100,54600,57300,59900,62400,64600,66100,67200,67700,68300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MACKNEICES,Mackerel ICES Northeast Atlantic,3182016,2936630,2905180,2831671,3122725,3129451,2956001,3072022,3287812,3576852,3241790,3303545,3386745,3903342,4329546,4576611,5130019,5016722,5203878,6399672,6278057,5932429,5773203,5684879,NA,NA,NA,NA
MACKNWATLSA3-4,Mackerel Northwest Atlantic (NAFO Subareas 3 and 4),111000,111000,108000,70800,72400,271000,251000,241000,198000,272000,235000,238000,167000,101000,83000,58900,42200,19400,13400,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEG8c9a,Megrim ICES 8c-9a,1319,1647,1579,1485,1204,1306,1010,930,1058,919,956,913,856,716,710,909,1255,1241,1108,1134,1236,1830,2237,2290,NA,NA,NA,NA
MEGVII-VIIIabd,Megrim ICES 7-8abd,76075.48311,67751.8247,77113.1439,79363.49035,67633.39174,71082.99279,76958.17784,69335.70904,64408.88915,57643.90358,55321.90257,55932.29054,62395.02317,66221.01262,79521.36949,70548.68847,61949.84333,60702.65344,69544.7053,83078.41311,76331.33921,91751.09478,103845.4714,150652.8723,NA,NA,NA,NA
MENATGM,Gulf menhaden Gulf of Mexico,1125344.664,1538075.46,1755895.777,1529464.451,1978460.687,2055752.422,1847453.816,1806882.871,1435406.047,1571629.122,1821165.438,1649132.272,2193341.551,2719401.848,1772211.159,1677242.054,2525158.133,2697646.649,2611743.904,2117854.956,2181547.152,2095644.407,2426794.225,2037168.417,2372851.415,1838163.847,2395972.666,NA
MENATLAN,Atlantic menhaden Atlantic,3378881.792,3060573.189,2660797.142,2360104.22,3153561.078,3138004.216,3017703.495,3368750.136,3196077.486,2941779.019,2349972.564,2706996.68,3290965.822,3007571.839,3050206.008,2964819.907,4264855.489,4033833.435,3325644.916,3013155.417,2747218.744,3080966.446,2541531.921,2357062.692,2818830.667,3909220.162,4551063.595,NA
MONKGOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,42000,39900,38200,39700,45300,51500,57900,61100,60800,51700,43700,39100,39100,42300,47300,53500,60500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MONKSGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,110000,109000,108000,105000,103000,106000,111000,115000,120000,121000,123000,125000,125000,125000,124000,118000,111000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MORWONGESE,Jackass morwong Eastern half of Southeast Australia,8809.84,8377.79,8003.5,7311.02,6607.05,5831.37,5397,5158.36,4914.97,4575.21,4237.39,3945.52,3606.42,3360.33,2888.08,2607.78,2369.61,2168.38,1903.34,1723.89,1660.92,1682.12,1635.22,1598.54,1574.65,1528.22,NA,NA
MORWONGWSE,Jackass morwong Western half of Southeast Australia,2941.13,2857.34,2838.67,2769.41,2748.72,2667.93,2570.78,2292.8,2083.02,1949.66,1800.55,1646.03,1494.83,1444.61,1428.36,1491.68,1600.93,1668.05,1790.61,1924.7,2084.45,2231.9,2338.13,NA,NA,NA,NA,NA
MULLQNSW,Sea mullet Queensland and New South Wales,17100,14500,14100,14200,17100,21000,29200,34200,35200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUTSNAPSATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,3620,3680,3780,3830,3840,3970,4200,4470,4590,4620,4630,4750,4800,4910,4840,5010,5090,5230,5210,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPHMEDGSA11,Norway lobster Sardinia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.5,140,140,176,147,129,137,121,81.8,77.5,74.6,NA,NA,NA,NA,NA,NA,NA
NEPHMEDGSA17-18,"Norway lobster Adriatic Sea (GSA 17,18)",8220,8050,6870,5610,4310,4130,3780,3670,5140,5470,6400,5880,5090,4530,4380,3590,2780,2540,2870,2560,2430,NA,NA,NA,NA,NA,NA,NA
NEPHMEDGSA5,Norway lobster Balearic Island,NA,NA,NA,NA,NA,NA,NA,87.1,87.3,86.3,85.3,88.9,105,110,101,99.9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEPHMEDGSA9,Norway lobster Ligurian and North Tyrrhenian Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973,969,788,773,764,629,639,587,518,512,638,NA,NA,NA,NA,NA,NA,NA
NPOUTIIIa-IV,Norway pout ICES 3a-4,741371,441824,741544,317004,330490,683651,309500,205467,129575,75145,67081,199832,177763,265023,420907,593596,214067,133796,331569,164348,430029,228864,287687,152275,405574,657441,477772,NA
NROCKBSAI,Northern rockfish Bering Sea and Aleutian Islands,240000,242000,240000,245000,248000,250000,253000,252000,252000,251000,248000,246000,243000,239000,236000,232000,226000,223000,221000,220000,NA,NA,NA,NA,NA,NA,NA,NA
NROCKGA,Northern rockfish Gulf of Alaska,159000,155000,154000,153000,153000,151000,150000,150000,149000,145000,141000,136000,130000,124000,118000,111000,105000,99800,93000,86800,81900,NA,NA,NA,NA,NA,NA,NA
NRSOLEEBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,1540000,1590000,1640000,1620000,1620000,1580000,1530000,1500000,1470000,1470000,1490000,1590000,1700000,1690000,1640000,1580000,1580000,1530000,1450000,1370000,1270000,NA,NA,NA,NA,NA,NA,NA
NRSOLEGA,Northern rock sole Gulf of Alaska,88500,86100,82400,80300,80600,82500,84200,88700,93100,96600,98000,96900,94700,92200,88900,85100,81800,78200,75000,74200,75600,NA,NA,NA,NA,NA,NA,NA
